Region,1889-94,1895-99,1900-1904,1905-9,Total
Atlantic Plain,48 (43),36 (25),34 (31),28 (22),146 (121)
Piedmont,58 (51),44 (35),38 (36),26 (17),166 (139)
Mountains,81 (71),28 (27),29 (29),13 (11),151 (138)
Black Belt,48 (31),47 (36),24 (17),22 (18),141 (102)
Central Plateau,83 (74),52 (41),30 (24),25 (19),190 (158)
Gulf Plain,95 (60),70 (49),59 (44),46 (38),270 (191)
River Counties,85 (63),61 (50),65 (50),48 (41),259 (204)
Cotton Uplands,129 (103),87 (63),64 (49),70 (55),350 (270)
Western Prairies,11 (9),• 7 (5),3 (0),9 (0),30 (14)
Total,638 (505),432 (331),346 (280),287 (221),1703 (1337)
